 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,N37,H38,C39,C40,H41,C42,H43,C44,H45,C46,H47,C48,O49,O50,H51
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10154008235503564,0.016447673963829512,0.0019151454491661557,0.02248989579316807,0.0029774316103271525,8.118431960424388e-05,0.002964772622649381,0.0012579263486282022,0.00023798110806017014,0.0006275279757386176,9.049834544949675e-05,0.0005579775705998324,1.792040603576517e-05,0.00021699831439969675,4.978530737664855e-06,0.00790177229920963,0.0011514546388305957,0.011801281510247286,0.00024261469226116716
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8862538486760156,0.11770527434524558,3.128616146895908,0.49254359013512206,0.025913155933480314,0.34635924990275446,0.23026952181975716,0.008153423024921835,0.039249958090700865,0.003814542170132995,0.07124576442750502,0.0029995091347252423,0.026900461394459507,0.0003681904107586398,0.030239160133039067,0.006976865126417556,0.005427821752509013,0.00039291100629346154
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1228870963370072,0.39264735945058643,3.3132933728833542,0.11353911915597703,0.4578625367162678,0.10720341791967211,0.0008089235687556151,0.07554463032512987,0.0006825060146466999,0.03563370379791497,0.0009572445215488834,0.07511700911617394,0.0008927609155013894,0.008116326639525828,0.0028059034880614925,0.0009816767422211603,0.0002487953960546019
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030411735821309405,0.10186050424901683,0.004943270887352469,0.027847969493437263,0.0030016089097404386,5.476412979454892e-05,0.002701247457409073,4.487173516620757e-05,0.0009625825221353246,0.0001138588044244937,0.0009318219658120963,0.00010572424371657618,5.417486934122806e-05,3.58467686856212e-05,1.829397708519309e-05,1.4420422589367377e-07
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38190139704247583,0.030910865626655903,3.4007682875750116,3.5590909068087906,0.12802541498723818,0.2873532097318805,0.026708531817159598,0.3375101510041244,0.027898051681998215,0.2266008519899191,0.003929682563970971,0.003807698965259454,0.001027379791244551,0.0009063441526116767,8.519955169750126e-05
N37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9265415587248664,3.3843997651258153,0.048518749150673085,0.0043291850582942715,0.25122215945758186,0.00727645119068332,0.04683361474234504,0.0004431445455181926,0.06927652694281078,0.0030278656677700244,0.0024648298796220436,0.0009133802424676624,0.00031540509670306693,7.011378002419466e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11860773393614998,0.0034987831624970767,0.0014266309318873294,0.006987226928782397,0.0032389139371571396,0.0005246521797344084,3.678503239168407e-05,0.0005830364315949632,7.039929178698223e-05,8.111152863621296e-05,2.5973584657279503e-05,1.2945016318988145e-05,9.686325226354597e-07
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29429684404102446,0.02797161337599774,3.4776843929287136,0.13430667754355796,0.23194755318055985,0.0040493488377544296,0.3514838660322356,0.028054430485343174,0.0013115427943384272,0.0003066528652382744,0.00024336269936311994,3.573114757804419e-05
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1282651051297288,0.30792049973325364,0.0035757767257518225,3.848689013103605,0.13061329314171544,0.319500959289981,0.025826119093998345,0.0007828298392663358,0.00013282162424020638,0.00014362855289774823,4.5256127286563697e-05
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035711348635809603,0.0007797340635107286,0.1261866194415615,0.008446820537188371,0.02725705470370121,0.0010876286047145634,7.946293807492566e-05,2.9499029737700688e-05,2.2604561452421734e-05,3.015192986177695e-06
C42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1227965776215028,0.3199677737628487,0.026117838460210985,3.9357909716467745,0.13332898610886246,0.0002986294400240952,7.202116594186292e-05,7.335206657467508e-05,1.701575885448836e-05
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027382225109009672,0.0009977044465820928,0.12830451889429373,0.008508327834206852,3.0331363898072894e-05,7.36665877953957e-06,1.0601277009691934e-05,9.15721596328467e-08
C44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105810762331302,3.7595071713386177,0.12759910432730193,0.0004164135780047318,0.00011434074518426596,7.476946833188947e-05,2.8565993318130367e-05
H45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12605163505556138,0.0081899382318944,1.154803852987385e-06,4.2048238169112295e-07,4.810492274520684e-07,2.076842842146931e-07
C46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8096172062593567,0.00036196949904543363,7.218291806929122e-05,4.520595734329447e-05,2.4190100080256904e-05
H47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527777442111855e-06,1.084285152774811e-07,7.683486880072365e-08,1.76041885513456e-08
C48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820329712236991,3.5660760532215283,0.16810528394839608
O49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5130011134329756,0.05915318252110713
O50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7925919654936089
H51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
