 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,H37,H38,N39,H40,C41,N42,H43,H44,N45,H46,H47,C48,O49,O50,H51
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.806728978928684,2.116810656067286,2.7248320045634853,0.08332549397902844,0.08062520659069006,0.19205117116338316,0.004732730314932265,0.041493522685306705,0.009934324800761216,0.0009520239767198957,0.00018268626308326485,0.011247857410894818,0.0001398418724194439,0.0002612993552952858,0.028270535523564316,0.007267634841573625,0.004850238729513831,0.0012024177378293643
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024431778851908392,0.09093733379781721,0.03452047708424244,0.00662734471902704,0.00568952706340875,3.864361771999114e-05,0.0049965944989185385,0.004729756623839121,6.925050304729119e-05,2.6489523526684877e-05,0.0005099173719329553,8.360618689362553e-06,4.654602828613186e-05,0.0008979232970576234,0.00016818494817516516,0.0001371725921717193,1.750409027123645e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09158073762904273,0.004136141258119785,0.032709527309499054,0.012580816281306695,0.0021087431180428773,0.0013103847815201242,0.0007293896953175505,0.00035166599830249723,2.6504520358017203e-05,0.0002539738418368964,2.999050925200919e-05,1.7347542684342798e-05,0.001217417375251717,0.0006876871287473385,0.00023892551306270438,9.149842081468407e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8496352059559624,2.138063546692051,2.6617656653689554,0.0917991611158755,0.26258400881818783,0.039204750033413505,0.0214994342965954,0.0017851864556664987,0.04964719676282198,0.0013675231215859451,0.004163029242808869,0.0057528991527558415,0.0008764419846082616,0.001371763126683509,0.00029505401916218865
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026696605156286024,0.11037845229610088,0.0081414009748908,0.023621458449147648,0.0024368659263662718,0.0011136739005457308,4.418277496442968e-05,0.00334183909567376,0.00011466734542731061,0.0008508249075045438,8.170197670609447e-05,4.1198807982700814e-05,1.9559550816006244e-05,1.0864644159891412e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09531421507664684,0.021944067503552933,0.012575539605012231,0.010061142391830424,0.01849365232239486,0.000455287656617287,0.0018123244862492394,0.000346035804350997,0.0003558708996256321,5.490819665876501e-05,3.47471545462108e-05,1.5432331749165584e-05,3.388137179483053e-06
N39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8730481049330168,3.5653436715415605,0.3688420510805982,0.008608410074388617,0.029011560588067975,0.39191306104882034,0.011860489300024035,0.030061741511466233,0.0015041123720563043,0.00034187229747560666,0.0003607440753660429,7.567624782389704e-05
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16101713532758122,0.02672623488189807,0.0013079446631678593,0.001906542724086524,0.01411252255120543,0.008122809038316747,0.0012819088442312943,1.629754655529947e-05,9.614978919603168e-06,3.371433560883652e-06,6.473269644757806e-07
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7787911383096344,0.151409223195198,0.14922214678651258,3.678863717847726,0.1506997055306264,0.1504112985578112,0.0004325603761051733,8.691124126017358e-05,9.654365600389458e-05,2.4064667645595783e-05
N42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8693103930646324,1.7732294392911,0.3761252989693574,0.028454541884555207,0.011466508262331643,0.0001084273853995954,1.748658830041938e-05,2.6959022321998427e-05,6.2297436562719355e-06
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037259345610284766,0.02888904230017242,0.0023835940845791104,0.0008302641495649965,2.0740929089768656e-06,9.349918019818659e-07,3.562628488884556e-07,4.8924803541794404e-08
H44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012517684824769226,0.0007595704822558336,0.005355510053386192,2.4002435954351142e-06,6.790180130389345e-07,4.5523068559205626e-07,1.0019392582272246e-07
N45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8893506066749444,1.8054612614293202,0.00019305794448670754,3.9036450865032046e-05,4.662831153921798e-05,1.1360553480943558e-05
H46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040331620141154545,2.152186991954963e-07,1.883456343110268e-07,3.4713138363784424e-08,4.367626926793378e-09
H47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903895854888816e-07,2.3838721419089381e-07,9.094710584633958e-08,1.869951971045225e-09
C48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21241245638316,3.4634091135250147,0.17044742527696044
O49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5206791850119425,0.06482281674727153
O50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61404567299121
H51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
