 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,N26,H27,C28,N29,H30,H31,N32,H33,H34,C35,O36,O37,H38
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024809124999713772,0.09305112683463523,0.03198529357046187,0.006676174333303031,0.00842627917169203,0.002140092036214458,0.0005683622619907513,0.00045165908653710396,2.363355791645816e-05,2.583790788213136e-06,0.00021696308824359356,9.21640639428567e-06,1.1202249208919213e-05,0.0026845252412093235,0.0010361349956587995,0.00029283885450692715,9.76392581286678e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08416636333108496,0.004778376129637385,0.03269033946423683,0.006813808956275036,2.904767471823e-05,0.0023444000763344075,0.0033538104803639834,0.003222130396876466,7.185370132534175e-05,0.0007822567265125535,1.4944880946332617e-05,5.1563330333737056e-05,0.0014540005110337262,0.00045757323054762544,0.00015331270579399536,2.5154638014557307e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.091612597419319,2.0762814199164072,2.865635438272731,0.08780185723182965,0.2678053674914178,0.03257012826005988,0.011108948091259063,0.0018980118945381985,0.04576465786526651,0.001652348722537167,0.004384252836948099,0.0022629758671242894,0.00044462110392187726,0.000983452217982142,7.207308077017416e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031100028681901648,0.09949765484542417,0.02311421098084221,0.014567111316389214,0.011419648145140515,0.007431572969190947,0.00021514495639585185,0.0021185035367518035,0.0002712775216731078,0.00010393282758514033,7.654817158697647e-05,7.435420615764521e-05,1.999695480991992e-05,1.1929081795702956e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1130794815018984,0.007689742662383869,0.024013825974421144,0.0034023754668554007,0.00014735572899104987,3.0063136222224784e-05,0.0035058204896415424,4.935127996463784e-05,0.0004249498148221065,4.07630991816621e-05,8.421828600724268e-06,2.2529686281025363e-05,7.075428827274521e-07
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794370475231821,3.7600313871954363,0.39863424740143477,0.00696156411784854,0.029302441189161255,0.35887309684576196,0.013190737602294167,0.02741846270615733,0.0007762817142634715,0.00019228824765174513,0.00025874419940116744,5.0739413806066835e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16409195685827593,0.02966143698441248,0.0008940273921471675,0.0018155895672922195,0.016382584068395212,0.007558255692083904,0.0011475744082873884,3.9826597745595826e-05,2.1999582971332643e-05,8.06223944094242e-06,1.3089229373708378e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.676421514631042,0.14438831739617897,0.16157511776200006,3.698402832113342,0.1464643465115376,0.1505386720384958,0.00017960715430137553,6.658619185609393e-05,5.8782328276038576e-05,1.0023514858126248e-06
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79692505292659,1.9137346161021338,0.3838070285810691,0.031093099126305757,0.012032627308345645,0.0001355226765393236,4.2469404813380573e-05,3.7175812753587056e-05,7.3284542926321805e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04032270457802767,0.025427208423464243,0.0023965845380615747,0.0008618297812201803,6.359097987829188e-05,1.698697477703348e-05,2.1940622161875645e-05,5.858394206859074e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01381971042157737,0.0009864736376596905,0.00756144524697322,3.05096346564504e-06,1.613041910042412e-06,6.950016431250816e-07,2.7123243451221413e-07
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6482199722926514,1.9561819672786918,6.506519767518482e-05,1.953403394232278e-05,2.2165675403917895e-05,3.8466606211429166e-07
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036580542000400174,4.044359654953311e-06,1.184411607790814e-06,1.3552907746072762e-06,1.2775949809196163e-07
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9428467663355e-06,2.326070937641589e-06,3.2586887792618313e-06,6.548278141949027e-08
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01402910370228,3.4470018281844044,0.16744054285760246
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5116355178148906,0.056560571525696046
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8345104867530182
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
