 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,N37,H38,C39,C40,H41,C42,H43,C44,H45,C46,H47,C48,O49,O50,H51
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125101610524255,0.02589097267536289,0.0003310006028027779,0.014161104421367643,0.0039603155502067056,0.0007112272983231804,0.0016998264755672121,0.007616438789334934,0.008521486449708515,0.00043996520582423315,8.040225156991099e-05,0.0011388764831266052,6.29632480981801e-05,0.0006798209753132722,5.4134171814324006e-05,0.027004774222513683,0.004492851053169433,0.003465131461776294,0.00027006358543157916
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.223361733032748,0.11987373457159234,3.112350766045029,0.49130058206398763,0.02562128660584151,0.33717503518103875,0.22585374393327776,0.008261095630922144,0.0390065021635263,0.003677838710643977,0.07182063633637145,0.002883064613646402,0.02465138825936486,0.0003582793391003758,0.014836039214863733,0.0033669524723423383,0.0026140761543766433,0.00017580990034482546
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772357197812586,0.39903490343830095,3.4214120777347334,0.11025757787665491,0.45936093997355204,0.11199136049306699,0.0009033743431643426,0.07351710159672353,0.0006872287700450119,0.028949919678709413,0.0009704140484136925,0.08031350690039368,0.0009022331098496039,0.015164782940647797,0.02023029540701389,0.0012530801058021485,0.00010573031362759444
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030554382475231012,0.10255948382148272,0.005021996539524176,0.026723772513558952,0.002968763858362644,6.104385556238157e-05,0.002662184227250286,4.822929711578716e-05,0.0009892931776194214,0.00011644768820784357,0.0008890286273661729,0.00010127923967218067,0.018402263352668813,0.024333053271602845,0.0013885272541390714,0.00010254619285032796
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39241765388068817,0.031395027808350795,3.209060395184242,3.5555566968317955,0.1324040466824521,0.2853354339775609,0.026920450287617026,0.33687406239580886,0.027557283030907653,0.23184695975935174,0.003935363958810889,0.0020971848775409307,0.0005852970450580947,0.0005224797968673422,2.4536604416813823e-05
N37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9668613871722276,3.1744151696503855,0.04540189144323484,0.0041132506394638835,0.2544275340304566,0.007228357293955545,0.0515210252582122,0.00045117990634380156,0.06426410992551959,0.003035261570189407,0.002191743313095934,0.002459490384522256,0.00020754032624596686,2.8096662876397893e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11827378342172368,0.0035561843847347063,0.0014246139778857358,0.00721659177233136,0.0033109641409301283,0.0005292167493265998,4.1172713146409023e-05,0.0005741824410139262,7.103397822061375e-05,0.00011853846678422375,4.6047222651668385e-05,6.891974239753296e-06,6.182371883323157e-07
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294654394083023,0.027414009385055005,3.665537632032591,0.13604097599655485,0.2262367091041893,0.0040275716340585355,0.35374152337933273,0.028372308884710984,0.0013413159435979316,0.0005657409909646527,0.00022429324436371023,7.595744703770002e-06
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0347833748791584,0.31045141108006635,0.0036474945693667493,4.045071507423557,0.13349007334338303,0.3235721352150863,0.02596660423892061,0.0008067097005559076,0.00022537979225095706,0.00016466965901566766,1.2504335429985858e-05
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003570408382859158,0.0007703025037553157,0.13093457703833034,0.00854025915878176,0.027505303714127516,0.0011157391343481482,0.0002578906514090207,0.00010644525831282614,4.288038057564947e-05,6.5300874130258535e-06
C42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0298234581943144,0.3176583878646986,0.026175005073614033,3.9482487011816065,0.132254564254622,0.00023549867060856933,0.00012249659785150413,3.6844677536659876e-05,1.8548288082120834e-06
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02749240336741776,0.0010737364005033445,0.12652566136409327,0.008359287666918513,1.1722139550141009e-05,7.270546041882042e-06,3.5529182058624542e-06,1.380447178789268e-07
C44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9273198724816007,3.54779327698257,0.1229441269998397,0.00015366638472213978,6.445588122754031e-05,3.301291851777466e-05,3.915041686064491e-06
H45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12395102174251105,0.008074621912183444,7.945364064232407e-06,1.6410128238497634e-06,2.817230240204083e-07,1.4773542167390019e-08
C46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032598218497326,0.00020862054036444033,0.00010076541091791347,6.363660073398225e-05,9.506501754685814e-07
H47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.493981310640713e-05,9.465218029691691e-06,1.0635366990419115e-06,5.29020907080735e-08
C48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.043004802226513,3.404918974123058,0.1711523844764502
O49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079874900476521,0.06812795474829292
O50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7208540989164818
H51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
