 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,O24,N25,H26,H27,C28,O29,O30,H31
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026450013957721064,0.10881542379862919,0.02057883819984485,0.023595366009276697,0.0010477338167058647,0.0010395200268602522,0.0013844751552329893,0.00024387295777117401,0.0005390241609681823,0.0001693915992719841
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11202202297603625,0.030318304855034395,0.016784409311094484,0.00019304470158920672,3.665739778591082e-05,0.004028133355364227,0.001427580414675167,0.00025830922334291184,4.5252794706795996e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944394407172175,3.4682763639031076,0.1264421825901747,0.14392747668159978,0.001771350626882634,0.000814202760208188,0.0006202831322399405,5.13584404672196e-05
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5722909529842582,0.03374576534907292,0.0314205805729012,0.0006660898832372697,0.00023556282077411006,0.00027050703788605857,4.404931281043467e-05
N25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9075065554832824,1.8695830610614994,0.0013745266664319244,0.000544130993597576,0.002455064674722604,0.00017799971858178942
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746441140367063,0.002069506978876312,0.0006402680294199659,0.01275496403144083,0.00044587221801295485
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3969299858372928e-05,6.255271202793011e-06,8.531454007409955e-05,6.976587864304662e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.516305517078499,3.3785135465844087,0.16062686413628546
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5011880939726222,0.06199475964033252
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7362446644012839
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
