 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,H31,H32,C33,O34,O35,H36
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023685540306427333,0.08760844521254674,0.03321017603292442,0.004713435201437299,0.010091456133735521,0.004101315354405166,0.00014619803618498572,0.0008451519621839321,0.0007011528510447729,2.5481315818254302e-05,5.3058798648031313e-05,0.0008842744248416246,0.0001562376012119726,0.00026758003891302895,1.1373977990558615e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08320320804790482,0.004784179725202398,0.03323307703075251,0.009096369266497817,0.0001599657597539661,0.0034550354299240915,0.0008407220200230547,3.116420570647982e-05,0.0006831414306238681,7.831205703801025e-05,0.007681749753540856,0.0009658114057654599,0.002698753468985071,5.8800832043237605e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0163805773586834,1.9067882912510057,2.8355822740873,0.08392063662930038,0.084165645319494,0.16906431324973872,0.013003774169847993,0.012560451003922224,0.023248982375096983,0.0033857460584379717,0.0007341551997087567,0.00043796340161596226,3.163718580023733e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02281588984704963,0.09569699686039601,0.034776286817043145,0.005612011337803535,0.007542479074846398,0.006866213953834244,0.00016123608042506454,0.0004904099870233214,7.73615657783111e-05,1.9288802179828757e-05,2.721508228087366e-05,3.353967127361912e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09487767361218213,0.005038429384854881,0.03440108690043209,0.008516829130338799,0.0001813588898698093,0.007103009772739366,0.000673604650480053,0.0007948686694658758,0.0002132222790225402,0.00011633698384894142,1.1209968188152786e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0274608044776445,1.9554344625672133,2.7198235801540913,0.07634474346614162,0.07408027098998082,0.07590053133583985,0.0005056272330487277,0.00024203366708544505,9.190261492375562e-05,6.6194396700636204e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027052987056654,0.09394775557023938,0.027473338159925476,0.004838412257327507,0.004506689715007006,1.257414969191295e-05,2.9938748136171256e-06,4.17440847344519e-06,5.209530657968031e-07
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09088633581730277,0.004563487503645547,0.027345606175924075,0.004786362889710238,2.5113883682426064e-05,1.1666846808311426e-05,1.1153031546196068e-05,6.284112670229547e-07
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8835049323864268,1.7651397073980188,1.8061331965668566,0.00014692052489309604,2.975729217809253e-05,1.957828638493586e-05,2.155759448285721e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02919340776011259,0.029979416782673907,3.546094198836336e-06,6.679929381858685e-07,6.868669104598268e-07,4.229963734836417e-08
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030051183115163083,8.945841041163582e-06,2.706526131435183e-06,2.68730417296581e-06,4.881462678518744e-08
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.056743508727088e-05,4.297404677444661e-06,1.7500664557523748e-06,1.1624537932242163e-07
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.323551206165928,3.4846346343491357,0.17354800076001997
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5032680250503181,0.05902788253300684
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6872338501745383
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
