 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8993736265628287,2.395446563202312,0.08570803446349107,0.07852700232267473,0.15820981540229245,0.04021106724594173,0.0326333949863396,0.00734782908528997,0.001821881030758865,2.7573762275678155,0.28382205014299594,0.20672279762228685,0.05438001598129716
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07175397630464231,0.006150843990089472,0.014527034471833122,0.02210226217775979,0.003577467419436098,0.023622168095952967,0.005672801789638138,0.00020439366161273398,0.11290134213071545,0.016620472164907585,0.019651696078311298,0.000975083378563113
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9559493885309738,2.093375835162325,2.5071731293535953,0.30688148007245697,0.22186454912844517,0.011256844306732128,0.044923292309787755,0.2072532803963978,0.04598856616049206,0.024215931828231257,0.0017192522276270328
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030288611652011577,0.09834300964900256,0.03297394927474617,0.011789646133068432,0.0011442939103136762,0.0002636991819593426,0.013193750393062142,0.0052322922610813505,0.0005933396611996766,0.0003203806585827529
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10172589644901642,0.02172141364073399,0.021078643511197037,0.001337195465163754,0.0017417735377991406,0.02902850789546685,0.0029684265243146157,0.004872031502899055,0.0002890386856617688
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932152065427062,3.7382382879907174,0.1348822854388244,0.1439744630115053,0.011746573519337139,0.002665280230902456,0.003420348331024725,0.00018990554132247706
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5744049532537054,0.026683764410129984,0.02687452630102427,0.00375349890262916,0.0013999925629780141,0.0008120192497499817,2.651116335206094e-05
N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7985990742032643,1.6889720718845291,0.0044035325820683535,0.0006559009214769373,0.0013902114685040712,0.00019391389454193053
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04148534207600507,0.00039069884145581657,6.656531745363736e-05,0.0002118749798668551,3.3092252039956804e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023345759193882376,2.9480259745029436e-05,0.00014120896845537523,1.3418100552886614e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.287548411435918,3.232467088276152,0.16098623346120866
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5213205806389094,0.06827617657823637
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7719332598088942
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
