 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8951806986847939,2.676477092063112,0.10178424496460925,0.08696110811782876,0.18074475858024008,0.04334475305401027,0.02626299914567494,0.0008120964851063839,0.0024744826309215373,2.6191522210725178,0.2666186704990995,0.21277703447813875,0.05521346879274103
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08123977050698217,0.003314660828409588,0.03208685132233291,0.013959314880836793,0.01076242855579257,0.002018537538259979,7.193219108270199e-05,2.8577764331849664e-05,0.10998429546727273,0.027836903759675735,0.009947062984936195,0.0005258887963346393
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7474353822926227,2.011672455482592,2.647926268114042,0.30256537269636097,0.22231003293110363,0.014250936706263095,0.043828649709554246,0.1762969062420249,0.03820657457943909,0.02856281078695995,0.00465277517359719
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02638364008186822,0.10396629012722713,0.020885129133615288,0.020883396340154792,0.0012174652755867488,0.0009224282962470021,0.026748284270660783,0.0046463777625526115,0.003474811487158558,0.0011405510012039155
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08878124018748945,0.025207254110339528,0.011405136646993164,0.004737110924561083,0.0014654128133226862,0.01315480986228712,0.01194894183190709,0.0015865964815447997,4.8876359636684796e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.138545413340934,3.5165026482522435,0.1410350713304318,0.14413650818253887,0.011089954693128984,0.007914721609323466,0.0022620253016621406,0.00023012097168939594
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5593949741626865,0.032933618470644466,0.030221318199520897,0.003091654464856236,0.001981705263069178,0.0005321625565411214,7.537270290858267e-05
N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8223568106106631,1.9213711376426201,0.010642439408515045,0.03359160649971191,0.002241418951836993,0.00033961117008540764
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03772739270011294,0.012431560940171282,0.08663239213793461,0.003918486183440817,0.00011209651902976958
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000289519442554953,0.0007685879227489201,6.773689261097005e-05,1.5707843507017927e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.981186971761994,3.480049686239013,0.17284395753695747
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5219448148461932,0.06693098288103727
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.632401862028346
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
