 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,C27,H28,C29,H30,H31,C32,H33,H34,C35,H36,H37,C38,O39,O40,H41
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035535772615742,0.00047651821152849827,3.9096480362210695e-05,0.00030605390024028567,3.974612798648969e-05,6.9405834814961764e-06,1.0351428872373836e-05,3.8867886642535154e-07,2.66745308286076e-07,1.7039863946161082e-05,5.273511645809137e-06,3.456718447036877e-07,0.0003339690199637979,0.0004063856058513782,6.982283454304294e-06,8.082448272278553e-05,0.0001782423904823499,2.550445937421486e-05,5.931824195837265e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.074355939158835e-06,2.0814376633371268e-06,3.102081287398306e-07,4.736173475627936e-08,1.421022832737151e-08,2.1697222463146204e-08,6.43172115566415e-09,8.377589066910218e-09,6.567588228811871e-08,8.486295377529984e-08,3.9872505297466887e-10,9.365695874397062e-07,4.822516691316281e-06,5.195214014541705e-08,6.448017362270519e-07,1.036558744171856e-06,1.5383479368136221e-07,4.057125968515152e-09
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.809395986565638,3.4713986174192906,0.2802653110754545,0.021287290576504247,0.03004881729230871,0.0034288766530909953,0.0002860600972944827,0.02907527138471072,0.00017041098528758347,0.0034680586594240115,0.23755060060774888,0.01490963366943987,0.021236323773411003,0.04512655989927403,0.00849262388894799,0.0060590715172796905,0.0006441153907029706
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5417779765132569,0.08794109180794486,0.023444147544557037,0.011702927958128703,0.0012771680474519265,0.0002991505548602946,0.008576454923597418,0.00017925063562385102,0.0024056472624945924,0.05595184893036907,0.0052624848060340845,0.010861119836452438,0.05415046485516438,0.010207647039611911,0.00544919935494563,0.0005261631759828633
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7781107917690897,0.09199468053933746,0.20596305359965644,0.021092461125301387,0.0030667350691662154,0.21249470422447206,0.0031533761680531125,0.023681904765047834,2.7778117080936644,0.08939235794772027,0.09382070988535984,0.1830591707539479,0.027342646882954902,0.027060583418735212,0.004565523744760491
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768676555105487,2.6967583614017583,0.07927435553432716,0.08971167314737727,0.1968687442429639,0.004836887545379254,0.02623489877564178,0.21752155798081899,0.019236395875510404,0.008998746118008327,2.6762863995147788,0.267806989749673,0.2249269386350337,0.05525991979381806
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0771744337432313,0.0018820113732493926,0.010523945091392317,0.020920941788120317,0.0005529404288531214,0.0005044300076084696,0.016725557894572973,0.0007618471545618455,0.00036823300232646794,0.10957634502559133,0.02315998734980329,0.015608659811585324,0.0012001125198985996
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1398479639512247,2.0973210201219965,2.8415412434024296,0.08695223988686662,0.07863533237809617,0.20221031887940188,0.02344800261682012,0.004831214316222132,0.19189875443847754,0.040525052890895835,0.02371603720271763,0.0018988295255129017
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026400711380801134,0.07671803418388112,0.0076877469218523675,0.0010805914387472804,0.02690221000701687,0.0007803893938949091,9.935514607950502e-05,0.017677852577463238,0.002375211210956407,0.0028109296842241394,0.00013323896032280125
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08331971615553657,0.03129154476804308,0.0075481475191137015,0.006056554991897833,0.00033120168635103475,0.0011492840721789577,0.023169351017470197,0.006172866658568421,0.0016445374048751349,0.000589727928114625
